State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,VIZIANAGARAM,Banana,2002-03,Whole Year,4684,Hectare,97277,Tonnes,20.76793339
Andhra Pradesh,VIZIANAGARAM,Banana,2003-04,Whole Year,4645,Hectare,106645,Tonnes,22.9590958
Andhra Pradesh,WARANGAL,Banana,2001-02,Whole Year,277,Hectare,6233,Tonnes,22.50180505
Andhra Pradesh,WARANGAL,Banana,2002-03,Whole Year,609,Hectare,14862,Tonnes,24.40394089
Andhra Pradesh,WARANGAL,Banana,2003-04,Whole Year,436,Hectare,6105,Tonnes,14.00229358
Andhra Pradesh,WEST GODAVARI,Banana,2001-02,Whole Year,8264,Hectare,99790,Tonnes,12.07526621
Andhra Pradesh,WEST GODAVARI,Banana,2002-03,Whole Year,5547,Hectare,123149,Tonnes,22.20100955
Andhra Pradesh,WEST GODAVARI,Banana,2003-04,Whole Year,5712,Hectare,24247,Tonnes,4.244922969
Andhra Pradesh,ADILABAD,Cashewnut,2001-02,Whole Year,24,Hectare,2,Tonnes,0.083333333
Andhra Pradesh,ADILABAD,Cashewnut,2002-03,Whole Year,86,Hectare,19,Tonnes,0.220930233
Andhra Pradesh,ADILABAD,Cashewnut,2003-04,Whole Year,24,Hectare,4,Tonnes,0.166666667
Andhra Pradesh,CHITTOOR,Cashewnut,2001-02,Whole Year,126,Hectare,34,Tonnes,0.26984127
Andhra Pradesh,CHITTOOR,Cashewnut,2002-03,Whole Year,121,Hectare,15,Tonnes,0.123966942
Andhra Pradesh,CHITTOOR,Cashewnut,2003-04,Whole Year,124,Hectare,33,Tonnes,0.266129032
Andhra Pradesh,EAST GODAVARI,Cashewnut,2001-02,Whole Year,34634,Hectare,5151,Tonnes,0.148726685
